言霊,タイプ,備考
それ、仕様です,助言,
徹夜で乗り切れ,助言,
二徹で乗り切れ,助言,
二徹で諦めろ,助言,
三徹で諦めろ,助言,
三徹で乗り切れ,助言,
風呂場でひらめく,予言,
シャワーを浴びてリフレッシュ,助言,
/* TODO */,ボケ,
上司から\n牛丼差入の\n兆しあり,予言,
帰ろうとすると\n上司に止められる\n予感,予言,
クラウド障害で\n1日休み,予言,
夢の中で\nデバッグ成功,予言,
夢でみた\nデバッグ方法を\n忘れる,予言,
print()入れたら\n発生しないバグに\n遭遇の予感,予言,
自称アラサー\n0x30歳の恋人\nあらわる,予言,
それ、\nブラック企業\nです,助言,
ライブラリを\n変えてみよう,助言,
改行コード\n大丈夫？,助言,
rm -rf all_projects,ボケ,
Permission Error,ボケ,
エナドリは\n元気の前借り,助言,
Arm未対応\nパッケージ\n苦戦する予感,予言,
見積もり工数を\n請求できないかも,予言,
調査依頼も\n工数請求\nしてみよう,助言,
今日は定時で\n帰れるかも？,予言,
今日は定時で\n帰ってみよう,助言,
感じるな！考えろ！,助言,
リファクタは今日終わらないよ,予言,
とりま動くようにしましょう,助言,
バグの数だけ\n人は成長する,助言,
設計バグを\nプログラムで\n対応の兆しあり,予言,
ハード不具合を\nソフトで修正\nさせられる兆し,予言,
イスを並べて寝ましょう,助言,
そのバグ\nランチで\n閃くかも,助言,
落ち着きたければ\nトイレに籠ろう,助言,
深呼吸をして\n窓の外を\n見てみよう,助言,
小一時間寝よう,助言,
ウェアラブル\nデバイスで\nやるき上昇,助言,
セパレート\nキーボードに\n変えてみよう,助言,
速度改善は\nボトルネック\n調査から,助言,
大丈夫？\nモニター付箋に\nパスワード,助言,
pythonで\nタブとスペース\n混ぜんじゃねぇ,助言,
在宅ワーク\n猫の鳴き声\n場が和む,予言,
人工無能\nできました！,ボケ,
ﾝ・3ﾀnG髷茗\n8金kﾖ`ｲpS雫\n孤處諒h?B3h,ボケ,
雑談の\n無いプロジェクト\nは失敗だ,助言,
解説記事よりも\n公式Docを\n読んでみよう,助言,
StackOverFlow\n信じるか否かは\nあなた次第,助言,
動きません！\nコピペの実装\n信じるな,助言,
コピペは\n理解してから使え,助言,
ドキュメント\n読みました？,助言,
ドキュメントより\n信じるべきは\nプログラム,助言,
けーぶる\nたくさんつなげば\nはやくなる,助言,
そのドキュメント\n最新ですか？,助言,
型宣言を\n見直して！,助言,
文字列と数値\n混ざってるかも,助言,
ビルドエラーで\n3日スタック\nの兆しあり,予言,
オンラインMTGに\n子供が映ると\n場が和むよ,助言,
IE11対応が\n必須になる予感,予言,
結合テストで\n新たな仕様が\n浮き彫りに！,予言,
Issueコメントを\nしっかり書くと\nいいことあるよ！,助言,
プリンを食べて\n頭を\n柔らかくしよう,助言,
こんにゃく食べて\n頭を\n柔らかくしよう,助言,
何もしてないの\n動くようになるよ,助言,
何もしてないの\n動かなくなるよ,助言,
孫請け\nひ孫請け\n玄孫請け,ボケ,
その仲介業者\n必要かい？,助言,
バージョン\nコンフリクトで\n３日ロス,予言,
テレワーク\n目覚めてすぐの\nミーティング,助言,
たまには\nメールを見よう,助言,
顧客からの\n10日前のメール\nを発見する兆し,助言,
コメントを\n整理して\n運気上昇,助言,
プレゼン当日\n新幹線で\n資料を作ろう,助言,
コメントは\n信じるな！,助言,
README.md\n無い予感,予言,
もう少しだけ\nマグカップを\nPCから離そう,助言,
発表5分前に\nスライド完成\nの予兆,予言,
README.mdが\n無い前ぶれ,予言,
あなたは今\n仮想空間の方に\nいますよ,予言,
めがねは\nおでこ,助言,
「できません」\nで信頼獲得の兆し,予言,
書いてます?\n[ドキュ|コ]メント,助言,
そのバッチ処理\n帰宅前に\n10分様子をみよう,助言,
マシン性能\n自宅 > 仕事,ボケ,
調整中の仕様が\n決まるかも？,予言,
年収の10倍の\nスパコンを\n使える兆しあり,予言,
VPN鯖ダウン\n1日休み,予言,
寝ようとすると\n「障害発生」,予言,
ストレージ\n尽きて\n何にも操作できん,予言,
こまめに\nバックアップ,助言,
転ばぬ先の\nバックアップ,助言,
お茶こぼし\n全部データが\n消える予感,予言,
お茶こぼし\n合って良かった\nバックアップ,予言,
名刺から\nメールアドレス\nを削除しよう,助言,
誤送信\nあって良かった\取消機能,予言,
社内のVPN\nトラフィックに\n注意して,助言,
思い切って\n社内サーバーの\n容量を拡張しよう,助言,
リモートが\n繋がらず\n出社の予感,助言,
引っ越しの機運！\nネット契約\nお早めに！,助言,
こっそり\n自動化で\n楽しちゃえ,助言,
GPSテスト\n太陽フレアの\n影響あり,予言,
２分後\nミュートに\n気づく,予言,
ミュートに\nなってるよ,助言,
ディスク障害？\nホットスワップ\nじゃね?,助言,
VM化したら\n管理\nめんどくなるよ,助言,
そうだ！\nStack overflow\nへ行こう,助言,
